   @ATTRIBUTE direccion_fantasma_S {North,South,West,East,Stop,None}
   @ATTRIBUTE direccion_fantasma_W {North,South,West,East,Stop,None}
   @ATTRIBUTE direccion_fantasma_E {North,South,West,East,Stop,None}
   @ATTRIBUTE direccion_fantasma_cercano {North,South,West,East,Stop}   
   @ATTRIBUTE distancia_fantasma_cercano NUMERIC
   @ATTRIBUTE pac_dots NUMERIC
   @ATTRIBUTE nearest_food NUMERIC
   @ATTRIBUTE SCORE NUMERIC
   @ATTRIBUTE action {North,South,West,East,Stop}
   @ATTRIBUTE NEXT_SCORE NUMERIC

   @data

32, 20, 16, 2, 9, False, True, True, True, West, 4, 1, 4, 1, 1, 999999, 999999, 4, 1, 0, 0, 1, 0, 1, 0, 0, South, None, None, South, South, 5, 1, 16, 569,East, 568
33, 20, 16, 3, 9, False, True, True, True, East, 4, 1, 3, 1, 1, 999999, 999999, 3, 1, 0, 0, 1, 0, 1, 0, 0, South, None, None, South, South, 4, 1, 15, 568,East, 567
34, 20, 16, 4, 9, False, True, True, True, East, 4, 1, 3, 1, 1, 999999, 999999, 3, 1, 0, 0, 1, 0, 0, 0, 1, East, None, None, East, East, 4, 1, 14, 567,East, 566
35, 20, 16, 5, 9, False, True, True, True, East, 4, 1, 3, 1, 1, 999999, 999999, 3, 1, 0, 0, 1, 0, 0, 0, 1, East, None, None, East, East, 4, 1, 13, 566,East, 565
36, 20, 16, 6, 9, True, True, True, True, East, 4, 1, 2, 0, 999999, 999999, 999999, 2, 0, 0, 0, 1, 0, 1, 0, 0, None, None, None, South, South, 2, 1, 12, 565,East, 564
37, 20, 16, 7, 9, True, True, True, True, East, 4, 1, 1, 1, 999999, 1, 999999, 1, 0, 1, 0, 1, 0, 1, 0, 0, None, South, None, South, South, 2, 1, 11, 564,South, 563
38, 20, 16, 7, 8, True, True, True, True, South, 4, 1, 1, 0, 999999, 999999, 999999, 1, 0, 0, 0, 1, 0, 0, 0, 0, None, None, None, Stop, Stop, 1, 1, 12, 563,East, 762
1, 27, 20, 1, 18, False, True, True, False, Stop, 4, 4, 4, 5, 999999, 5, 999999, 4, 0, 4, 0, 4, 0, 0, 0, 0, None, Stop, None, Stop, Stop, 13, 0, -1, 0,South, -1
2, 27, 20, 1, 17, True, True, False, False, South, 4, 4, 4, 3, 999999, 3, 999999, 4, 0, 4, 0, 4, 1, 1, 1, 0, None, North, None, South, South, 13, 0, -1, -1,South, -2
3, 27, 20, 1, 16, True, True, True, False, South, 4, 4, 4, 2, 999999, 2, 999999, 4, 0, 4, 0, 4, 2, 0, 2, 0, None, West, None, North, North, 11, 0, -1, -2,South, -3
4, 27, 20, 1, 15, True, True, True, False, South, 4, 4, 3, 1, 999999, 1, 999999, 3, 0, 4, 0, 4, 1, 0, 2, 1, None, East, None, West, West, 9, 0, -1, -3,South, -4
5, 27, 20, 1, 14, True, True, True, False, South, 4, 4, 3, 0, 999999, 4, 999999, 3, 0, 3, 0, 4, 2, 0, 2, 0, None, North, None, North, North, 7, 0, -1, -4,South, -5
6, 27, 20, 1, 13, True, True, False, False, South, 4, 4, 3, 1, 1, 4, 999999, 3, 1, 3, 0, 4, 1, 1, 2, 0, West, South, None, South, South, 7, 0, -1, -5,South, -6
7, 27, 20, 1, 12, True, True, True, False, South, 4, 4, 3, 2, 2, 4, 999999, 3, 1, 3, 0, 4, 0, 1, 1, 2, East, South, None, South, South, 7, 0, -1, -6,South, -7
8, 27, 20, 1, 11, True, True, False, False, South, 4, 4, 3, 2, 3, 2, 999999, 3, 1, 3, 0, 4, 1, 0, 1, 2, West, North, None, North, North, 5, 0, -1, -7,South, -8
9, 27, 20, 1, 10, True, True, False, False, South, 4, 4, 4, 1, 4, 1, 999999, 4, 1, 3, 0, 4, 1, 1, 1, 1, West, East, None, East, East, 5, 0, -1, -8,South, -9
10, 27, 20, 1, 9, True, True, False, False, South, 4, 4, 4, 0, 4, 3, 999999, 4, 1, 2, 0, 4, 0, 2, 1, 1, South, West, None, East, East, 4, 0, -1, -9,South, -10
11, 27, 20, 1, 8, True, True, False, False, South, 4, 4, 4, 1, 2, 1, 999999, 4, 2, 2, 0, 4, 2, 1, 0, 1, North, North, None, North, North, 6, 0, -1, -10,South, -11
12, 27, 20, 1, 7, True, True, False, False, South, 4, 4, 3, 0, 3, 4, 999999, 3, 2, 1, 0, 4, 1, 1, 2, 0, West, South, None, West, West, 6, 0, -1, -11,South, -12
13, 27, 20, 1, 6, True, True, True, False, South, 4, 4, 4, 0, 4, 3, 999999, 4, 2, 1, 0, 4, 0, 1, 1, 2, East, West, None, East, East, 8, 0, -1, -12,East, -13
14, 27, 20, 2, 6, False, True, True, True, East, 4, 4, 3, 0, 3, 3, 999999, 3, 2, 1, 0, 4, 0, 1, 2, 1, South, West, None, South, South, 6, 0, -1, -13,East, -14
15, 27, 20, 3, 6, True, True, True, True, East, 4, 4, 1, 1, 3, 1, 999999, 1, 2, 2, 0, 4, 0, 1, 2, 1, West, South, None, West, West, 4, 0, -1, -14,North, -15
16, 27, 20, 3, 7, True, True, True, False, North, 4, 4, 1, 1, 1, 2, 999999, 1, 2, 2, 0, 4, 2, 2, 0, 0, South, South, None, South, South, 2, 0, -1, -15,North, -16
17, 27, 20, 3, 8, True, True, True, False, North, 4, 4, 1, 1, 7, 1, 999999, 1, 1, 3, 0, 4, 1, 2, 0, 1, North, South, None, South, South, 2, 0, -1, -16,South, -17
18, 27, 20, 3, 7, True, True, True, False, South, 4, 3, 7, 2, 7, 2, 999999, 7, 1, 2, 0, 3, 0, 1, 2, 0, South, West, None, West, Stop, 8, 0, -1, 183,South, 182
19, 27, 20, 3, 6, True, True, True, True, South, 4, 3, 8, 1, 7, 1, 999999, 8, 1, 2, 0, 3, 0, 1, 1, 1, South, East, None, East, Stop, 7, 0, -1, 182,East, 181
20, 27, 20, 4, 6, True, True, True, True, East, 4, 3, 7, 1, 7, 1, 999999, 7, 1, 2, 0, 3, 0, 1, 1, 1, West, East, None, East, Stop, 8, 0, -1, 181,East, 180
21, 27, 20, 5, 6, True, True, True, True, East, 4, 3, 6, 2, 7, 2, 999999, 6, 1, 2, 0, 3, 0, 2, 1, 0, West, South, None, South, South, 8, 0, -1, 180,East, 179
22, 27, 20, 6, 6, True, False, True, True, East, 4, 3, 5, 2, 8, 2, 999999, 5, 1, 2, 0, 3, 2, 1, 0, 0, North, North, None, South, South, 8, 0, -1, 179,East, 178
23, 27, 20, 7, 6, False, False, True, True, East, 4, 3, 4, 2, 8, 2, 999999, 4, 1, 2, 0, 3, 1, 1, 0, 1, East, North, None, North, North, 6, 0, -1, 178,East, 177
24, 27, 20, 8, 6, True, True, True, True, East, 4, 3, 3, 1, 8, 1, 999999, 3, 1, 2, 0, 3, 1, 1, 1, 0, West, North, None, North, North, 4, 0, -1, 177,South, 176
25, 27, 20, 8, 5, True, True, True, False, South, 4, 3, 3, 0, 8, 2, 999999, 3, 1, 1, 0, 3, 1, 1, 0, 1, South, East, None, North, North, 3, 0, -1, 176,East, 175
