@relation 'data/training_turorial1.arff-weka.filters.unsupervised.attribute.Remove-R37-weka.filters.unsupervised.attribute.Remove-R1-3,10,23-31,35'

@attribute pacman_position_x numeric
@attribute pacman_position_y numeric
@attribute legal_actions_N {True,False}
@attribute legal_actions_S {True,False}
@attribute legal_actions_E {True,False}
@attribute legal_actions_W {True,False}
@attribute number_ghosts numeric
@attribute number_living_ghosts numeric
@attribute mov_ver numeric
@attribute mov_hor numeric
@attribute min_distancia_norte numeric
@attribute min_distancia_sur numeric
@attribute min_distancia_oeste numeric
@attribute min_distancia_este numeric
@attribute num_ghost_N numeric
@attribute num_ghost_S numeric
@attribute num_ghost_W numeric
@attribute num_ghost_E numeric
@attribute distancia_fantasma_cercano numeric
@attribute pac_dots numeric
@attribute nearest_food numeric
@attribute action {North,South,West,East,Stop}

@data
28,6,False,False,True,True,4,2,0,7,7,999999,25,999999,2,0,1,0,9,9,10,West
27,6,True,True,True,False,4,2,2,7,7,999999,24,2,2,0,1,1,11,9,9,North
27,7,True,True,False,False,4,2,2,5,5,999999,24,2,2,0,1,1,10,9,9,North
27,8,False,True,True,False,4,2,1,4,4,999999,25,1,2,0,1,1,8,9,8,East
28,8,False,False,True,True,4,2,0,4,4,999999,26,999999,2,0,1,0,7,9,9,East
29,8,True,False,False,True,4,2,2,4,4,999999,2,999999,2,0,2,0,9,9,10,North
29,9,True,True,False,False,4,2,1,3,3,999999,1,999999,2,0,2,0,7,9,9,North
29,10,False,True,False,True,4,2,1,2,2,999999,1,999999,2,0,2,0,6,9,8,West
28,10,False,False,True,True,4,2,0,2,2,999999,26,999999,2,0,1,0,5,9,7,West
27,10,True,False,True,False,4,2,1,2,2,999999,24,1,2,0,1,1,6,9,6,North
27,11,True,True,False,False,4,2,1,0,4,999999,24,1,1,0,1,1,5,9,5,North
27,12,True,True,True,False,4,2,2,1,3,1,24,2,1,1,1,1,5,9,4,North
27,13,False,True,True,True,4,2,1,2,2,2,24,1,1,1,1,1,3,9,3,West
26,13,True,False,True,False,4,2,3,1,2,1,23,3,1,1,1,1,5,9,2,North
26,14,True,True,False,True,4,2,3,1,1,2,23,3,1,1,1,1,4,9,1,North
26,15,False,True,True,True,4,2,3,0,999999,4,23,3,0,1,1,1,3,9,2,East
27,15,False,False,True,True,4,2,2,0,999999,3,24,2,0,1,1,1,2,9,3,East
28,15,False,False,True,True,4,2,1,0,999999,4,25,1,0,1,1,1,1,9,4,East
29,15,False,False,False,True,4,1,26,3,999999,3,26,999999,0,1,1,0,29,9,5,West
28,15,False,False,True,True,4,1,25,4,999999,4,25,999999,0,1,1,0,29,9,4,West
27,15,False,False,True,True,4,1,24,5,999999,5,24,999999,0,1,1,0,29,9,3,West
26,15,False,True,True,True,4,1,24,5,999999,5,24,999999,0,1,1,0,29,9,2,South
26,14,True,True,False,True,4,1,23,4,999999,4,23,999999,0,1,1,0,27,9,1,South
26,13,True,False,True,False,4,1,24,3,999999,3,24,999999,0,1,1,0,27,9,2,East
27,13,False,True,True,True,4,1,26,3,999999,3,26,999999,0,1,1,0,29,9,3,South
27,12,True,True,True,False,4,1,26,3,999999,3,26,999999,0,1,1,0,29,9,4,South
27,11,True,True,False,False,4,1,26,1,999999,1,26,999999,0,1,1,0,27,9,5,South
27,10,True,False,True,False,4,1,26,0,999999,999999,26,999999,0,0,1,0,26,9,6,East
28,10,False,False,True,True,4,1,26,0,999999,999999,26,999999,0,0,1,0,26,9,7,East
29,10,False,True,False,True,4,1,28,0,999999,999999,28,999999,0,0,1,0,28,9,8,South
29,9,True,True,False,False,4,1,27,1,1,999999,27,999999,1,0,1,0,28,9,9,South
29,8,True,False,False,True,4,1,28,2,2,999999,28,999999,1,0,1,0,29,9,10,West
28,8,False,False,True,True,4,1,26,2,2,999999,26,999999,1,0,1,0,28,9,9,West
27,8,False,True,True,False,4,1,24,2,2,999999,24,999999,1,0,1,0,26,9,8,South
27,7,True,True,False,False,4,1,24,4,4,999999,24,999999,1,0,1,0,26,9,9,South
27,6,True,True,True,False,4,1,24,6,6,999999,24,999999,1,0,1,0,25,9,9,South
27,5,True,False,False,True,4,1,24,7,7,999999,24,999999,1,0,1,0,24,9,8,West
26,5,False,False,True,True,4,1,23,7,7,999999,23,999999,1,0,1,0,23,9,7,West
25,5,False,True,True,True,4,1,22,6,6,999999,22,999999,1,0,1,0,22,9,6,West
24,5,False,False,True,True,4,1,21,7,7,999999,21,999999,1,0,1,0,21,9,5,West
23,5,True,True,True,False,4,1,20,8,8,999999,20,999999,1,0,1,0,20,9,4,North
23,6,True,True,False,False,4,1,19,7,7,999999,19,999999,1,0,1,0,21,9,5,North
23,7,False,True,True,False,4,1,19,6,6,999999,19,999999,1,0,1,0,22,9,5,East
24,7,False,False,True,True,4,1,20,6,6,999999,20,999999,1,0,1,0,23,9,6,East
25,7,True,False,False,True,4,1,20,6,6,999999,20,999999,1,0,1,0,24,9,7,North
25,8,True,True,False,False,4,1,20,6,6,999999,20,999999,1,0,1,0,25,9,6,North
25,9,True,True,False,True,4,1,20,4,4,999999,20,999999,1,0,1,0,24,9,5,West
24,9,False,False,True,True,4,1,19,4,4,999999,19,999999,1,0,1,0,23,9,6,West
23,9,False,False,True,True,4,1,18,5,5,999999,18,999999,1,0,1,0,23,9,5,West
22,9,False,False,True,True,4,1,17,4,4,999999,17,999999,1,0,1,0,21,9,4,West
21,9,True,True,True,True,4,1,16,5,5,999999,16,999999,1,0,1,0,21,9,3,South
21,8,True,True,False,False,4,1,16,7,7,999999,16,999999,1,0,1,0,21,9,2,South
21,7,True,True,False,False,4,1,16,8,8,999999,16,999999,1,0,1,0,20,9,3,South
21,6,True,True,False,False,4,1,16,9,9,999999,16,999999,1,0,1,0,19,9,3,South
21,5,True,False,False,True,4,1,16,10,10,999999,16,999999,1,0,1,0,18,9,2,West
20,5,False,False,True,True,4,1,15,10,10,999999,15,999999,1,0,1,0,17,9,3,West
19,5,False,True,True,True,4,1,14,10,10,999999,14,999999,1,0,1,0,16,9,3,South
19,4,True,True,False,False,4,1,14,11,11,999999,14,999999,1,0,1,0,15,9,3,South
19,3,True,False,False,True,4,1,14,12,12,999999,14,999999,1,0,1,0,14,9,2,West
18,3,False,False,True,True,4,1,14,12,12,999999,14,999999,1,0,1,0,13,9,3,West
17,3,False,False,True,True,4,1,12,12,12,999999,12,999999,1,0,1,0,12,9,4,West
16,3,False,False,True,True,4,1,11,11,11,999999,11,999999,1,0,1,0,11,9,3,West
15,3,False,False,True,True,4,1,10,12,12,999999,10,999999,1,0,1,0,10,9,3,West
14,3,False,False,True,True,4,1,9,12,12,999999,9,999999,1,0,1,0,9,9,2,West
13,3,False,False,True,True,4,1,8,11,11,999999,8,999999,1,0,1,0,8,9,3,West
12,3,False,False,True,True,4,1,7,11,11,999999,7,999999,1,0,1,0,7,9,4,West
11,3,True,False,True,True,4,1,6,11,11,999999,6,999999,1,0,1,0,6,9,5,West
10,3,False,False,True,True,4,1,5,11,11,999999,5,999999,1,0,1,0,5,9,6,West
9,3,False,False,True,True,4,1,4,11,11,999999,4,999999,1,0,1,0,4,9,7,West
8,3,False,False,True,True,4,1,3,10,10,999999,3,999999,1,0,1,0,3,9,8,West
7,3,True,False,True,False,4,1,3,10,10,999999,3,999999,1,0,1,0,2,9,9,North
7,4,True,True,False,False,4,1,2,9,9,999999,2,999999,1,0,1,0,3,9,8,North
7,5,True,True,False,True,4,1,3,8,8,999999,3,999999,1,0,1,0,4,9,7,West
6,5,False,False,True,True,4,1,2,8,8,999999,2,999999,1,0,1,0,5,9,8,West
