@relation 'data/training_tutorial.arff-weka.filters.unsupervised.attribute.Remove-R37-weka.filters.unsupervised.attribute.Remove-R1-5,10-12,23-33,35'

@attribute legal_actions_N {True,False}
@attribute legal_actions_S {True,False}
@attribute legal_actions_E {True,False}
@attribute legal_actions_W {True,False}
@attribute mov_ver numeric
@attribute mov_hor numeric
@attribute min_distancia_norte numeric
@attribute min_distancia_sur numeric
@attribute min_distancia_oeste numeric
@attribute min_distancia_este numeric
@attribute num_ghost_N numeric
@attribute num_ghost_S numeric
@attribute num_ghost_W numeric
@attribute num_ghost_E numeric
@attribute nearest_food numeric
@attribute action {North,South,West,East,Stop}

@data
True,True,False,False,5,1,1,999999,5,999999,4,0,4,0,-1,North
True,True,True,True,4,0,3,999999,4,999999,1,0,4,0,-1,West
False,False,True,True,4,0,4,999999,4,999999,1,0,4,0,-1,West
True,True,True,False,3,0,3,999999,3,999999,1,0,4,0,-1,North
True,True,False,False,2,1,3,1,2,999999,1,3,4,0,-1,North
False,True,False,True,2,1,3,1,2,999999,1,3,4,0,-1,West
False,False,True,True,2,1,3,1,2,999999,1,3,4,0,-1,West
False,False,True,True,1,2,3,2,1,999999,1,3,4,0,-1,West
False,False,True,True,1,1,3,1,1,1,1,3,3,1,-1,West
True,False,True,True,1,0,3,1,1,1,1,2,2,2,-1,West
False,True,True,True,1,2,3,2,1,2,1,2,1,2,-1,South
True,True,False,True,1,0,4,1,1,3,1,1,1,2,-1,West
True,True,True,False,3,1,4,1,999999,3,1,1,0,2,-1,South
True,False,True,True,3,0,5,999999,999999,3,1,0,0,2,-1,East
True,False,True,True,2,0,5,999999,999999,2,1,0,0,2,-1,East
False,False,True,True,1,0,5,999999,999999,1,1,0,0,2,-1,East
False,False,True,True,1,5,5,999999,999999,1,1,0,0,1,-1,West
False,False,True,True,2,5,5,999999,999999,2,1,0,0,1,-1,West
True,False,True,True,2,5,5,999999,999999,2,1,0,0,1,-1,North
True,True,False,True,3,4,4,999999,999999,3,1,0,0,1,-1,North
False,True,True,True,2,3,3,999999,999999,2,1,0,0,1,-1,East
True,False,True,True,2,3,3,999999,999999,2,1,0,0,1,-1,North
True,True,False,False,1,2,2,999999,999999,1,1,0,0,1,-1,North
True,True,False,False,0,1,1,999999,999999,999999,1,0,0,0,-1,North
True,True,True,True,1,2,2,4,7,1,2,2,2,2,7,North
True,True,True,True,0,0,1,5,7,1,1,2,2,1,8,North
True,True,True,True,1,1,999999,1,7,1,0,3,2,1,9,South
True,True,True,True,2,0,999999,5,6,2,0,2,2,1,8,West
