@relation 'data/training_keyboard.arff-weka.filters.unsupervised.attribute.Remove-R37-weka.filters.unsupervised.attribute.Remove-R1-5,11-12,23-33,35-weka.filters.unsupervised.attribute.Remove-R5'

@attribute legal_actions_N {True,False}
@attribute legal_actions_S {True,False}
@attribute legal_actions_E {True,False}
@attribute legal_actions_W {True,False}
@attribute mov_ver numeric
@attribute mov_hor numeric
@attribute min_distancia_norte numeric
@attribute min_distancia_sur numeric
@attribute min_distancia_oeste numeric
@attribute min_distancia_este numeric
@attribute num_ghost_N numeric
@attribute num_ghost_S numeric
@attribute num_ghost_W numeric
@attribute num_ghost_E numeric
@attribute nearest_food numeric
@attribute action {North,South,West,East,Stop}

@data
True,True,True,True,5,0,999999,999999,5,999999,0,0,1,0,-1,South
True,True,True,True,5,0,999999,999999,5,999999,0,0,1,0,-1,West
True,True,True,True,3,0,999999,999999,3,999999,0,0,1,0,-1,West
True,True,True,True,2,1,1,999999,2,999999,1,0,1,0,-1,West
True,True,True,True,1,1,1,999999,1,999999,1,0,1,0,-1,West
True,True,True,True,1,1,1,999999,999999,1,1,0,0,1,-1,West
True,True,True,True,2,0,999999,999999,999999,2,0,0,0,1,-1,North
False,True,True,True,2,2,999999,2,999999,2,0,1,0,1,-1,East
False,True,True,True,2,2,999999,2,999999,2,0,1,0,1,-1,East
False,True,True,True,2,2,999999,2,999999,2,0,1,0,1,-1,South
True,True,True,True,2,0,999999,999999,999999,2,0,0,0,1,-1,South
True,False,True,True,2,1,1,999999,999999,2,1,0,0,1,-1,East
True,False,True,True,1,2,2,999999,999999,1,1,0,0,1,-1,East
True,False,True,True,0,1,1,999999,999999,999999,1,0,0,0,-1,North
False,False,True,True,6,0,4,999999,12,6,3,0,1,3,3,East
False,False,True,True,5,0,3,999999,13,5,3,0,1,3,3,East
False,False,True,True,4,0,3,999999,15,4,3,0,1,3,4,East
False,False,True,True,3,0,3,999999,17,3,3,0,1,3,3,East
True,False,False,True,2,0,3,999999,18,2,3,0,1,3,2,Stop
True,False,False,True,2,0,2,999999,18,2,3,0,1,3,2,North
True,True,False,False,2,1,2,1,17,2,3,1,1,3,3,North
False,True,True,True,2,2,2,2,18,2,3,1,1,3,3,West
False,False,True,True,3,2,2,2,17,3,3,1,1,3,3,West
False,False,True,True,4,2,2,2,16,4,3,1,1,3,2,West
True,False,True,False,5,2,2,2,15,5,3,1,1,3,2,North
True,True,False,False,5,1,1,3,15,5,3,1,1,3,3,North
False,True,True,False,5,0,2,4,15,5,2,1,1,3,4,Stop
False,True,True,False,5,0,3,4,15,5,2,1,1,3,4,East
False,False,True,True,4,1,1,4,15,4,3,1,1,3,3,East
False,False,True,True,3,2,2,4,17,3,3,1,1,3,2,East
True,False,False,True,2,2,2,4,17,2,3,1,1,3,3,North
True,True,False,False,3,1,1,5,17,3,3,1,1,3,2,North
True,True,True,False,4,0,1,6,18,4,2,1,1,3,6,North
True,True,False,False,3,0,5,1,18,3,1,2,1,3,5,South
True,True,True,False,3,0,1,6,18,3,2,1,1,3,6,South
True,True,False,False,3,1,1,5,18,3,3,1,1,3,7,South
True,False,False,True,3,1,1,4,18,3,3,1,1,3,6,Stop
True,False,False,True,2,1,1,4,17,2,3,1,1,3,6,North
True,True,False,False,2,0,1,5,18,2,2,1,1,3,7,North
True,True,True,False,2,1,1,1,17,2,2,2,1,3,6,East
False,False,True,True,1,0,6,1,17,1,1,2,1,3,7,East
True,True,True,True,4,1,6,1,19,4,1,2,1,2,6,East
False,False,True,True,3,1,6,1,19,3,1,2,1,2,7,East
False,False,True,True,2,2,6,2,20,2,1,2,1,2,7,East
False,False,True,True,1,2,6,2,21,1,1,2,1,2,6,East
True,True,False,True,0,3,6,3,22,2,1,2,1,1,5,South
True,True,False,False,0,1,7,1,22,2,1,2,1,1,6,South
True,False,False,True,0,1,1,3,22,3,2,1,1,1,7,West
False,False,True,True,1,1,1,3,21,1,2,1,1,2,7,West
False,True,True,False,2,1,1,3,20,2,2,1,1,2,6,South
True,True,False,False,2,2,2,2,21,2,2,1,1,2,5,South
True,True,True,False,2,1,3,1,21,2,2,1,1,2,4,South
True,True,False,False,2,0,4,999999,21,2,2,0,1,2,3,South
True,False,False,True,2,0,5,999999,21,2,2,0,1,2,2,West
False,False,True,True,4,0,5,999999,19,4,2,0,1,2,10,West
False,False,True,False,4,0,5,999999,18,4,2,0,1,2,9,East
False,False,True,True,3,1,1,999999,20,3,3,0,1,2,10,East
True,False,False,True,2,1,1,999999,22,2,3,0,1,2,11,North
True,True,False,False,2,1,4,1,22,2,2,1,1,2,10,North
True,True,True,False,2,2,4,2,22,2,2,1,1,2,9,East
False,False,True,True,1,2,5,2,23,1,2,1,1,2,10,East
False,True,True,True,0,2,4,2,24,4,2,1,1,1,9,South
True,True,False,False,1,1,6,1,24,1,2,1,1,2,10,South
True,False,True,False,1,0,7,999999,23,1,2,0,1,2,11,Stop
True,False,True,False,2,0,7,999999,22,2,2,0,1,2,11,North
True,True,False,False,1,1,6,1,23,1,2,1,1,2,10,North
False,True,True,True,2,2,5,2,24,2,2,1,1,2,9,East
False,False,True,True,1,2,5,2,24,1,2,1,1,2,10,East
True,False,False,True,1,2,5,2,24,1,2,1,1,2,11,Stop
True,False,False,True,2,2,5,2,24,2,2,1,1,2,11,West
False,False,True,True,3,1,6,1,23,3,2,1,1,2,10,West
False,True,True,True,3,0,6,999999,22,3,2,0,1,2,9,South
True,True,False,False,2,1,1,999999,22,2,3,0,1,2,10,South
True,False,True,False,1,1,1,999999,23,1,3,0,1,2,11,East
False,False,True,True,0,1,1,999999,23,3,3,0,1,1,12,East
False,False,True,True,0,1,1,999999,24,2,3,0,1,1,13,East
False,False,True,True,1,0,7,999999,1,1,2,0,2,1,14,East
True,False,False,True,1,7,7,999999,1,999999,2,0,2,0,15,North
True,True,False,False,1,6,6,999999,1,999999,2,0,2,0,14,North
True,True,False,False,2,4,4,999999,2,999999,2,0,2,0,13,North
False,True,False,True,1,2,2,999999,1,999999,2,0,2,0,12,West
False,False,True,True,0,2,2,999999,26,999999,2,0,1,0,11,West
True,True,True,False,0,2,2,999999,24,999999,2,0,1,0,10,North
True,True,False,False,0,1,1,999999,24,999999,2,0,1,0,9,North
False,True,True,False,1,1,7,1,1,999999,1,1,2,0,8,East
False,False,True,True,2,2,7,2,2,999999,1,1,2,0,9,East
True,False,False,True,4,2,7,2,4,999999,1,1,2,0,10,North
True,True,False,False,4,4,6,4,4,999999,1,1,2,0,9,North
False,True,False,True,3,4,5,4,3,999999,1,1,2,0,8,West
False,False,True,True,1,4,5,4,1,999999,1,1,2,0,7,West
True,False,True,False,1,3,5,3,24,1,1,1,1,1,6,North
True,True,False,False,0,4,4,4,24,999999,1,1,1,0,5,North
True,True,True,False,1,3,3,4,1,999999,1,1,2,0,4,North
False,True,True,True,2,2,2,5,2,999999,1,1,2,0,3,West
True,False,True,False,1,2,2,5,1,999999,1,1,2,0,2,North
True,True,False,True,0,1,1,6,24,999999,1,1,1,0,12,West
True,False,True,False,1,1,1,6,23,1,1,1,1,1,11,North
False,True,True,False,1,0,999999,7,22,1,0,1,1,1,12,Stop
False,True,True,False,22,8,999999,8,22,999999,0,1,1,0,12,Stop
False,True,True,False,22,7,999999,7,22,999999,0,1,1,0,12,East
False,True,True,True,24,7,999999,7,24,999999,0,1,1,0,13,East
False,False,True,True,26,7,999999,7,26,999999,0,1,1,0,14,West
False,True,True,True,25,7,999999,7,25,999999,0,1,1,0,13,West
False,True,True,False,23,7,999999,7,23,999999,0,1,1,0,12,South
True,False,True,False,24,6,999999,6,24,999999,0,1,1,0,11,Stop
True,False,True,False,24,6,999999,6,24,999999,0,1,1,0,11,East
True,True,False,True,25,5,999999,5,25,999999,0,1,1,0,12,South
True,False,True,False,25,3,999999,3,25,999999,0,1,1,0,11,Stop
True,False,True,False,25,4,999999,4,25,999999,0,1,1,0,11,Stop
True,False,True,False,25,4,999999,4,25,999999,0,1,1,0,11,East
