@relation data/training_keyboard.arff-weka.filters.unsupervised.attribute.Remove-R37

@attribute TICK numeric
@attribute width numeric
@attribute height numeric
@attribute pacman_position_x numeric
@attribute pacman_position_y numeric
@attribute legal_actions_N {True,False}
@attribute legal_actions_S {True,False}
@attribute legal_actions_E {True,False}
@attribute legal_actions_W {True,False}
@attribute direction {North,South,West,East,Stop}
@attribute number_ghosts numeric
@attribute number_living_ghosts numeric
@attribute mov_ver numeric
@attribute mov_hor numeric
@attribute min_distancia_norte numeric
@attribute min_distancia_sur numeric
@attribute min_distancia_oeste numeric
@attribute min_distancia_este numeric
@attribute num_ghost_N numeric
@attribute num_ghost_S numeric
@attribute num_ghost_W numeric
@attribute num_ghost_E numeric
@attribute num_ghost_ori_N numeric
@attribute num_ghost_ori_S numeric
@attribute num_ghost_ori_W numeric
@attribute num_ghost_ori_E numeric
@attribute direccion_fantasma_N {North,South,West,East,Stop,None}
@attribute direccion_fantasma_S {North,South,West,East,Stop,None}
@attribute direccion_fantasma_W {North,South,West,East,Stop,None}
@attribute direccion_fantasma_E {North,South,West,East,Stop,None}
@attribute direccion_fantasma_cercano {North,South,West,East,Stop}
@attribute distancia_fantasma_cercano numeric
@attribute pac_dots numeric
@attribute nearest_food numeric
@attribute SCORE numeric
@attribute action {North,South,West,East,Stop}

@data
53,20,16,3,8,True,True,True,True,North,4,2,7,3,3,999999,999999,7,2,0,0,2,0,0,0,2,East,None,None,East,Stop,9,0,-1,448,North
54,20,16,3,9,False,True,True,True,North,4,2,7,3,3,999999,999999,7,2,0,0,2,1,0,0,1,North,None,None,North,Stop,10,0,-1,447,East
55,20,16,4,9,False,True,True,True,East,4,2,5,3,3,999999,999999,5,2,0,0,2,0,0,2,0,West,None,None,West,West,8,0,-1,446,East
56,20,16,5,9,False,True,True,True,East,4,2,4,2,2,999999,999999,4,2,0,0,2,0,1,1,0,South,None,None,South,South,6,0,-1,445,East
57,20,16,6,9,True,True,True,True,East,4,2,3,1,1,999999,999999,3,2,0,0,2,0,1,0,1,South,None,None,South,South,4,0,-1,444,East
58,20,16,7,9,True,True,True,True,East,4,2,3,1,1,999999,999999,3,2,0,0,2,1,0,0,1,East,None,None,East,East,4,0,-1,443,North
59,20,16,7,10,True,True,True,True,North,4,2,3,1,2,1,999999,3,1,1,0,2,0,2,0,0,South,South,None,South,South,4,0,-1,442,North
60,20,16,7,11,True,True,True,True,North,4,2,3,1,1,3,999999,3,1,1,0,2,0,2,0,0,South,South,None,South,South,4,0,-1,441,East
61,20,16,8,11,True,True,True,True,East,4,2,1,1,1,2,999999,1,1,1,0,2,1,0,1,0,West,North,None,West,West,2,0,-1,440,East
62,20,16,9,11,True,True,True,True,East,4,2,1,1,1,3,1,1,1,1,1,1,0,1,1,0,West,South,West,South,West,2,0,-1,439,East
63,20,16,10,11,True,True,True,True,East,4,2,0,1,1,4,2,999999,1,1,1,0,0,1,1,0,West,South,West,None,West,3,0,-1,438,East
64,20,16,11,11,True,True,True,True,East,4,2,0,2,2,4,3,999999,1,1,1,0,1,0,0,1,North,East,North,None,East,4,0,-1,437,North
65,20,16,11,12,True,True,True,True,North,4,2,0,1,1,4,2,999999,1,1,1,0,1,0,0,1,East,North,East,None,East,3,0,-1,436,North
66,20,16,11,13,True,True,True,True,North,4,2,1,0,999999,5,1,1,0,1,1,1,0,0,0,1,None,East,Stop,East,Stop,1,0,-1,435,West
67,20,16,10,13,True,True,True,True,West,4,1,2,5,999999,5,999999,2,0,1,0,1,0,0,0,1,None,East,None,East,East,7,0,-1,634,West
68,20,16,9,13,True,True,True,True,West,4,1,3,4,999999,4,999999,3,0,1,0,1,1,0,0,0,None,North,None,North,North,7,0,-1,633,West
69,20,16,8,13,True,True,True,True,West,4,1,3,4,999999,4,999999,3,0,1,0,1,0,0,1,0,None,West,None,West,West,7,0,-1,632,East
70,20,16,9,13,True,True,True,True,East,4,1,2,5,999999,5,999999,2,0,1,0,1,0,1,0,0,None,South,None,South,South,7,0,-1,631,South
71,20,16,9,12,True,True,True,True,South,4,1,2,5,999999,5,999999,2,0,1,0,1,0,1,0,0,None,South,None,South,South,7,0,-1,630,South
72,20,16,9,11,True,True,True,True,South,4,1,3,4,999999,4,999999,3,0,1,0,1,0,0,0,1,None,East,None,East,East,7,0,-1,629,South
73,20,16,9,10,True,True,True,True,South,4,1,2,3,999999,3,999999,2,0,1,0,1,0,0,1,0,None,West,None,West,West,5,0,-1,628,South
74,20,16,9,9,True,True,True,True,South,4,1,2,1,999999,1,999999,2,0,1,0,1,1,0,0,0,None,North,None,North,North,3,0,-1,627,South
75,20,16,9,8,True,True,True,True,South,4,1,3,0,999999,999999,999999,3,0,0,0,1,0,0,0,1,None,None,None,East,East,3,0,-1,626,South
76,20,16,9,7,True,True,True,True,South,4,1,3,2,2,999999,999999,3,1,0,0,1,1,0,0,0,North,None,None,North,North,5,0,-1,625,East
77,20,16,10,7,True,True,True,True,East,4,1,2,3,3,999999,999999,2,1,0,0,1,1,0,0,0,North,None,None,North,North,5,0,-1,624,East
78,20,16,11,7,True,True,True,True,East,4,1,1,4,4,999999,999999,1,1,0,0,1,1,0,0,0,North,None,None,North,North,5,0,-1,623,North
79,20,16,11,8,True,True,True,True,North,4,1,1,3,3,999999,999999,1,1,0,0,1,1,0,0,0,North,None,None,North,North,4,0,-1,622,North
80,20,16,11,9,True,True,True,True,North,4,1,0,2,2,999999,999999,999999,1,0,0,0,0,0,1,0,West,None,None,None,West,2,0,-1,621,North
81,20,16,11,10,True,True,True,True,North,4,1,0,2,2,999999,999999,999999,1,0,0,0,1,0,0,0,North,None,None,None,North,2,0,-1,620,East
82,20,16,12,10,True,True,True,True,East,4,1,1,3,3,999999,1,999999,1,0,1,0,1,0,0,0,North,None,North,None,North,4,0,-1,619,North
83,20,16,12,11,True,True,True,True,North,4,1,1,3,3,999999,1,999999,1,0,1,0,1,0,0,0,North,None,North,None,North,4,0,-1,618,North
84,20,16,12,12,True,True,True,True,North,4,1,1,1,1,999999,1,999999,1,0,1,0,0,1,0,0,South,None,South,None,South,2,0,-1,617,North
85,20,16,12,13,True,True,True,True,North,4,1,1,1,1,999999,1,999999,1,0,1,0,1,0,0,0,North,None,North,None,North,2,0,-1,616,West
86,20,16,11,13,True,True,True,True,West,4,1,1,1,1,999999,999999,1,1,0,0,1,0,0,0,1,East,None,None,East,East,2,0,-1,615,West
87,20,16,10,13,True,True,True,True,West,4,1,3,1,1,999999,999999,3,1,0,0,1,0,0,0,1,East,None,None,East,East,4,0,-1,614,West
88,20,16,9,13,True,True,True,True,West,4,1,4,0,999999,999999,999999,4,0,0,0,1,0,1,0,0,None,None,None,South,South,4,0,-1,613,West
89,20,16,8,13,True,True,True,True,West,4,1,5,1,999999,1,999999,5,0,1,0,1,0,1,0,0,None,South,None,South,South,6,0,-1,612,East
90,20,16,9,13,True,True,True,True,East,4,1,3,1,999999,1,999999,3,0,1,0,1,0,0,1,0,None,West,None,West,West,4,0,-1,611,East
91,20,16,10,13,True,True,True,True,East,4,1,2,0,999999,999999,999999,2,0,0,0,1,1,0,0,0,None,None,None,North,North,2,0,-1,610,East
92,20,16,11,13,True,True,True,True,East,4,1,1,1,1,999999,999999,1,1,0,0,1,1,0,0,0,North,None,None,North,North,2,0,-1,609,South
93,20,16,11,12,True,True,True,True,South,4,1,2,2,2,999999,999999,2,1,0,0,1,0,0,0,1,East,None,None,East,East,4,0,-1,608,South
94,20,16,11,11,True,True,True,True,South,4,1,2,2,2,999999,999999,2,1,0,0,1,0,1,0,0,South,None,None,South,South,4,0,-1,607,East
